@relation weather
@attribute pm25 numeric
@attribute pm10 numeric
@attribute co numeric
@attribute no2 numeric
@attribute so2 numeric
@attribute temp numeric
@attribute humidity numeric
@attribute aqi numeric
@data
26.2,180.7,0.21,53.6,2.0,41.6,64.5,88
233.0,229.4,0.27,119.3,44.5,28.9,25.2,226
112.4,242.9,1.18,72.2,24.9,29.5,48.0,181
225.3,221.7,0.71,114.5,9.9,14.1,59.8,229
59.1,250.8,1.03,94.2,31.2,14.5,42.8,172
218.1,205.7,1.68,37.3,18.5,27.3,82.7,215
73.4,34.0,1.46,19.6,78.3,24.1,50.2,123
178.8,54.1,0.89,51.7,76.5,17.7,88.3,173
292.3,32.1,1.04,101.0,76.0,31.2,20.8,233
84.3,247.9,1.29,58.7,15.1,36.4,90.0,167
62.2,398.1,1.79,98.8,42.9,38.0,32.1,226
241.3,149.2,1.9,87.1,74.6,37.1,21.5,254
215.7,129.2,0.38,15.8,18.9,13.6,38.3,148
245.5,55.8,1.48,87.6,43.4,15.1,45.3,222
173.1,382.8,1.55,108.4,46.8,27.5,80.9,273
222.8,215.6,1.47,54.0,37.6,25.7,64.8,225
209.1,150.4,1.4,13.2,60.9,25.0,80.4,193
174.4,295.9,0.24,104.4,65.2,42.0,68.1,216
101.0,84.5,1.74,11.4,44.6,10.5,23.3,138
55.9,141.2,0.48,9.4,57.3,33.7,79.6,98
253.3,348.5,1.76,50.5,43.8,31.4,84.7,274
259.5,297.7,0.54,21.3,34.0,31.7,80.5,212
241.8,329.7,0.7,70.7,21.3,18.4,43.5,236
276.5,299.1,1.49,13.3,27.3,25.9,43.5,239
265.2,174.5,1.33,92.5,40.6,36.3,38.9,245
140.5,333.5,0.22,28.7,34.5,14.6,31.6,164
19.5,175.0,1.19,34.2,14.2,20.8,69.8,112
296.8,236.7,1.18,25.2,50.2,15.4,20.5,238
159.8,77.1,0.82,37.3,63.0,43.8,36.1,146
87.3,247.1,0.48,40.2,23.0,19.7,20.0,133
265.5,24.7,0.43,90.0,53.7,10.2,37.0,196
48.7,247.4,1.92,71.6,79.9,17.8,83.9,201
154.9,354.2,0.73,45.4,41.1,41.9,43.2,195
87.1,130.0,0.94,40.0,52.4,16.4,61.9,137
24.9,88.7,1.52,109.8,55.5,36.2,48.6,152
132.4,59.3,1.45,28.6,23.5,11.7,60.1,143
254.7,173.9,1.71,112.4,64.3,39.3,79.6,273
115.3,156.0,0.91,42.2,49.5,42.4,56.3,147
80.6,185.8,1.27,114.7,16.7,11.3,57.8,183
73.0,238.9,0.56,52.2,20.0,13.7,70.4,140
217.6,351.1,1.87,9.6,26.9,39.5,47.2,233
10.2,20.9,1.06,11.4,25.4,29.9,51.5,62
84.4,235.0,0.31,37.5,56.9,18.3,62.1,138
27.4,106.1,1.96,100.5,21.3,36.9,55.6,155
144.3,207.3,1.86,102.2,57.9,43.8,54.7,230
116.2,105.1,0.36,6.3,2.8,23.5,84.4,96
114.1,133.0,0.7,92.5,21.1,44.6,30.2,149
202.4,341.1,0.21,74.3,30.4,22.4,20.8,209
250.7,320.5,0.44,24.8,5.6,36.2,82.2,202
90.3,319.2,1.39,82.8,24.8,20.9,81.4,204
120.8,265.1,1.94,101.0,4.7,23.8,74.5,224
82.6,283.6,0.11,84.8,69.7,27.0,61.3,167
122.8,119.8,1.03,5.4,11.8,18.0,56.5,122
26.1,157.5,1.08,89.5,22.4,10.4,64.6,140
267.5,128.2,1.35,40.1,5.9,42.1,79.1,204
112.6,51.9,0.25,91.8,74.8,35.6,42.6,138
246.7,51.8,0.77,100.8,8.7,17.8,77.7,199
260.6,133.2,1.24,119.3,63.0,23.2,64.9,258
41.4,223.6,1.7,15.8,25.0,36.6,50.0,135
77.5,237.1,1.99,34.8,76.8,39.6,39.5,184
271.4,191.6,0.76,95.1,5.6,14.0,59.9,232
286.1,146.5,1.99,76.0,55.7,35.3,28.7,263
113.5,357.7,1.64,65.0,11.2,22.0,23.5,209
156.2,380.6,1.34,50.7,27.6,32.6,22.0,218
142.1,208.8,1.84,68.2,46.7,19.7,20.6,210
275.4,87.3,1.21,9.4,67.4,33.2,77.9,199
56.0,76.8,0.39,115.1,43.4,34.6,26.4,125
126.5,107.0,0.3,47.3,44.4,17.4,46.4,129
113.4,377.5,1.46,49.1,10.7,41.0,68.5,201
102.2,226.9,1.55,97.7,5.9,11.8,67.4,197
239.0,61.2,1.6,87.4,76.8,15.2,47.0,234
176.3,303.0,1.66,91.7,5.9,10.7,88.1,245
138.8,195.0,1.32,45.9,13.9,27.4,48.0,170
149.8,291.2,1.31,31.3,49.4,38.3,77.1,197
287.5,77.7,0.87,39.6,27.1,16.1,47.6,196
224.7,28.6,0.85,43.0,67.9,15.2,64.9,176
185.7,390.6,1.81,117.9,14.1,38.8,80.9,280
77.8,79.6,1.54,53.7,54.8,34.7,23.9,141
288.9,373.6,0.22,102.2,15.4,44.6,42.4,257
166.5,100.3,0.18,45.0,69.4,13.8,77.2,150
279.6,275.6,1.62,91.7,33.1,16.8,55.2,283
24.6,196.5,1.7,51.7,29.3,30.2,25.1,141
63.8,300.1,1.49,71.2,14.1,16.5,50.2,181
56.8,122.7,0.58,6.8,53.2,21.2,37.4,93
252.5,252.5,1.48,19.1,43.3,29.9,63.1,228
86.2,334.7,0.93,46.4,77.2,33.5,54.6,184
298.5,81.8,1.16,56.1,75.0,34.7,52.0,229
15.8,307.3,0.3,86.4,14.5,42.3,33.8,129
36.9,132.0,0.91,84.6,33.1,23.5,83.1,134
277.0,188.8,1.44,48.7,18.1,18.0,53.4,233
145.7,334.3,0.65,14.5,32.4,24.4,21.2,168
24.1,274.1,1.74,48.4,21.7,18.3,59.6,159
169.6,83.5,1.1,92.9,32.4,27.6,88.7,187
226.2,108.5,0.2,22.4,48.9,20.7,64.7,156
110.8,166.1,1.46,100.7,70.9,31.6,64.4,203
80.1,156.8,1.17,23.6,51.5,42.9,35.1,130
64.6,244.5,1.28,31.7,44.7,42.7,61.8,150
34.1,48.3,1.27,56.9,21.2,25.8,76.9,108
54.6,376.6,1.42,8.2,54.4,26.1,27.8,167
80.2,331.7,1.88,114.2,57.4,34.0,53.7,237
154.9,228.7,0.11,14.0,75.2,36.8,44.4,147
23.1,372.0,1.8,65.8,30.2,16.5,86.8,194
114.7,359.0,1.97,68.5,62.9,10.1,52.2,243
172.7,90.2,1.91,96.4,53.3,14.6,78.9,223
196.4,242.0,0.23,112.5,61.1,17.0,27.5,217
167.9,266.0,0.84,48.9,28.3,14.4,58.2,191
278.4,315.0,1.66,95.8,12.0,43.7,61.3,283
53.5,45.4,0.42,58.6,9.7,36.3,23.7,80
84.3,395.8,1.81,44.3,11.2,38.7,72.4,202
110.3,257.7,0.72,32.7,2.8,41.3,85.9,144
200.0,361.4,1.18,112.9,7.6,21.5,52.1,257
53.9,328.7,1.87,31.5,27.6,20.7,65.5,179
248.0,355.0,0.76,119.9,51.1,16.0,54.8,280
120.9,99.0,0.16,112.7,18.8,19.0,62.7,147
110.6,340.0,0.71,57.8,31.9,28.8,66.6,182
83.1,73.8,1.69,26.1,6.2,11.4,79.8,129
50.7,209.6,0.95,83.3,31.6,20.7,76.6,155
225.0,278.6,1.55,28.6,25.3,22.6,55.3,225
237.5,212.5,1.46,100.3,24.6,31.7,30.4,245
142.7,139.5,1.78,74.1,78.9,31.0,77.7,210
53.2,72.0,1.99,86.5,71.9,34.5,21.2,165
197.3,236.4,1.89,56.9,75.4,21.6,48.1,244
179.0,252.4,1.74,68.0,44.3,27.5,82.5,234
90.3,328.9,1.88,97.5,56.1,36.1,70.0,233
174.6,268.2,1.85,108.8,2.9,26.1,68.4,245
47.5,345.1,1.97,43.1,40.9,40.5,54.2,188
90.8,188.0,1.47,90.5,42.3,25.1,27.3,183
101.4,64.5,0.72,117.2,5.6,12.2,86.6,151
255.3,214.7,1.13,97.9,58.2,36.5,45.8,252
137.4,242.2,1.06,7.7,9.5,43.7,28.7,146
85.8,205.1,0.1,65.9,10.2,19.5,83.8,128
296.6,130.1,0.21,44.8,35.1,14.2,51.2,196
241.6,43.2,1.44,22.7,28.5,38.8,55.2,176
115.7,45.3,1.09,39.1,69.1,26.2,74.2,140
197.2,392.5,0.58,32.6,8.9,16.4,87.9,209
261.7,53.2,0.56,68.4,62.3,25.9,50.1,194
102.4,355.6,0.69,18.0,64.9,25.5,89.0,175
199.4,328.4,1.89,101.4,51.7,28.5,39.3,276
31.9,229.9,1.17,42.5,19.7,25.6,62.9,132
66.0,306.9,1.76,11.2,75.7,18.5,81.2,183
57.9,240.9,1.41,19.1,20.5,19.2,66.3,142
114.4,333.8,1.82,31.4,54.1,34.9,64.6,208
223.0,76.0,1.96,34.9,65.0,25.1,84.3,213
147.9,157.3,0.17,62.6,70.5,39.7,39.1,154
179.1,374.1,0.8,116.4,60.4,13.0,39.3,258
80.1,345.1,1.74,116.5,72.5,24.9,46.7,242
15.7,187.6,0.86,90.7,42.5,26.8,28.4,135
236.4,316.6,1.12,22.2,69.0,14.4,85.2,238
212.1,273.5,0.29,69.2,77.6,23.4,72.5,218
134.0,261.5,0.98,16.1,31.8,16.3,74.1,167
84.0,56.8,1.24,106.1,18.9,33.7,44.5,148
262.3,370.4,1.37,45.8,4.3,40.9,84.4,254
91.4,357.1,0.84,104.7,76.1,11.6,81.9,224
141.2,341.4,1.24,81.6,26.8,18.2,22.9,219
60.7,350.2,0.51,16.3,51.7,33.1,81.3,144
143.3,308.9,1.44,109.0,18.4,24.6,63.8,233
223.8,259.4,0.42,90.1,30.2,15.2,49.7,220
14.2,22.3,0.84,15.8,75.6,35.8,41.7,72
48.0,330.7,1.66,61.9,14.3,42.6,48.2,176
203.7,134.3,0.38,93.8,65.6,38.7,45.0,193
268.5,392.4,0.41,35.1,63.8,40.7,43.2,241
25.9,321.6,1.99,78.0,64.5,34.4,67.3,202
157.4,131.5,1.04,100.4,64.0,43.6,20.1,193
101.3,153.0,0.75,82.5,36.7,27.8,74.0,157
275.6,205.8,1.81,20.8,66.5,35.4,47.8,243
63.3,198.7,1.37,42.0,29.5,26.7,82.0,148
202.2,134.3,0.41,101.4,17.9,36.3,22.5,181
55.0,348.5,1.51,114.0,71.5,20.0,30.7,224
192.2,130.5,1.43,83.2,71.4,25.3,77.6,221
230.3,103.8,1.78,32.1,57.0,11.2,57.5,212
134.8,176.9,1.58,26.6,37.8,40.6,54.8,168
191.4,391.9,1.32,116.0,79.5,45.0,64.2,283
151.9,47.8,0.74,70.3,40.3,17.5,78.7,154
215.4,243.0,1.9,32.8,3.7,23.8,81.2,222
186.3,221.5,0.54,119.6,45.0,13.4,51.2,220
261.6,214.4,1.08,42.2,19.8,17.9,45.2,217
41.7,206.8,1.89,80.1,48.7,20.5,43.2,179
86.8,368.9,1.32,111.1,65.6,36.4,77.1,233
155.3,376.1,0.3,5.7,7.5,11.0,79.8,167
107.3,67.2,1.69,87.6,66.7,13.0,86.3,186
77.0,280.8,1.7,83.6,26.1,23.3,25.1,195
265.8,99.0,0.44,83.4,56.7,27.9,55.2,207
62.1,373.1,0.64,28.2,48.1,38.6,50.8,154
250.1,161.2,0.31,62.6,46.2,33.5,22.6,192
134.4,49.1,0.69,50.6,4.7,24.4,36.7,119
132.5,27.5,0.84,114.3,75.4,32.6,61.6,173
127.6,330.3,0.83,14.5,16.7,43.3,40.5,159
14.3,285.9,1.96,86.2,56.0,28.9,33.2,189
196.1,141.4,1.47,72.0,13.0,42.8,74.7,199
153.4,141.2,1.31,98.8,4.9,18.1,88.5,195
289.8,74.5,0.39,51.3,44.8,19.0,82.9,196
261.4,190.4,1.96,81.6,78.4,31.4,60.9,275
35.0,94.9,0.5,20.9,26.5,27.9,86.5,79
193.3,81.4,1.41,19.0,16.8,29.0,47.3,159
297.2,135.2,0.25,101.1,65.3,34.9,82.7,234
141.1,118.5,0.75,90.7,35.1,15.4,67.1,172
22.1,302.0,0.38,24.8,17.8,43.5,20.7,101
270.6,172.9,0.2,89.3,29.4,13.5,83.7,217
262.5,251.9,1.43,43.8,37.8,39.5,37.8,237
180.3,286.1,1.71,59.4,12.7,13.7,64.2,227
114.0,343.4,1.0,66.2,13.6,30.1,62.0,191
33.9,391.5,1.12,68.8,32.6,40.7,64.3,177
182.2,37.5,1.09,37.3,62.3,30.5,78.7,162
296.8,389.5,1.53,43.9,50.9,25.0,21.3,286
34.2,351.5,0.33,70.6,40.1,10.4,72.2,156
38.9,369.3,0.64,48.3,43.2,17.0,32.0,155
277.4,88.3,1.86,76.5,52.3,14.4,66.3,252
234.0,165.1,1.96,36.9,43.1,14.7,87.9,232
54.2,55.3,0.1,114.4,38.6,29.8,23.5,110
119.3,266.0,1.1,101.3,45.3,41.9,81.1,207
91.1,146.6,0.98,41.4,52.8,26.0,61.5,142
224.4,171.3,0.72,42.0,22.2,36.2,80.8,184
93.7,85.8,0.74,111.0,66.0,32.0,32.0,158
58.5,138.7,1.29,91.4,75.1,27.1,64.1,169
252.8,287.4,0.78,85.1,76.4,35.7,62.5,256
103.0,105.9,1.56,23.1,65.1,28.8,75.1,152
109.8,23.7,0.19,26.8,25.4,25.3,59.1,86
231.6,311.0,0.28,22.1,11.6,23.7,58.4,188
224.9,118.9,1.01,50.5,77.3,21.6,34.1,201
47.2,265.1,1.54,18.2,70.5,12.7,23.3,158
239.9,164.0,0.97,92.9,49.8,12.3,88.6,235
258.8,33.1,1.26,85.1,76.6,19.4,73.9,226
47.2,387.6,0.87,49.3,66.0,39.3,53.6,174
222.9,258.3,0.18,31.3,54.5,38.2,53.1,185
171.9,87.6,0.45,99.0,35.6,44.5,27.3,163
251.1,219.4,1.92,21.5,62.8,11.0,53.3,244
169.6,106.9,0.96,23.8,33.8,38.5,37.1,146
226.8,330.9,0.23,95.2,50.9,43.0,50.8,233
244.8,289.8,1.93,55.3,58.2,42.0,50.3,265
34.5,338.7,0.71,79.9,78.0,15.0,30.0,176
184.3,278.5,0.64,44.0,28.5,17.2,58.1,191
181.6,247.5,0.3,117.2,70.2,22.4,68.8,223
96.6,219.6,1.33,50.1,48.0,37.7,24.9,166
46.2,115.3,0.17,43.6,52.3,44.5,33.9,88
166.3,102.2,0.17,116.7,30.9,13.6,51.0,172
173.4,97.5,0.8,8.5,14.2,33.2,54.6,130
280.7,316.9,0.1,16.8,25.5,20.2,53.9,206
278.3,171.7,0.2,115.8,19.3,36.0,62.4,224
276.4,367.8,0.16,111.1,74.1,40.5,82.8,276
270.8,372.5,1.67,114.4,46.6,35.9,50.6,311
166.2,267.5,1.52,103.8,76.5,12.2,58.9,253
144.9,344.3,0.53,12.4,18.7,24.1,32.1,162
178.9,133.2,0.77,42.7,47.4,12.5,69.1,171
112.2,99.6,0.97,20.3,48.4,24.4,34.8,127
181.4,280.9,0.63,28.3,17.2,12.7,53.9,179
52.6,380.3,0.68,86.8,55.9,14.3,27.8,187
231.9,132.1,0.53,119.3,55.5,36.8,53.4,219
288.8,119.3,1.61,101.2,65.8,11.1,65.3,272
36.1,287.9,1.85,6.3,69.6,37.7,64.5,160
87.7,339.9,0.96,21.7,18.8,38.7,85.6,159
139.8,359.5,0.4,29.6,69.4,28.7,32.6,182
88.6,395.4,1.9,9.0,56.2,41.9,46.5,199
155.7,256.1,1.61,55.3,29.5,32.6,36.9,205
214.3,137.7,0.71,13.9,73.9,31.2,30.3,170
57.1,110.6,0.77,109.7,9.6,11.5,50.0,138
299.1,119.8,1.33,39.0,37.5,34.4,56.2,222
144.2,358.7,0.81,66.2,48.1,35.2,76.1,211
165.7,211.9,0.16,29.4,48.0,19.3,34.1,152
287.4,272.3,1.82,68.7,75.0,20.9,30.6,289
138.7,53.0,1.93,46.7,36.8,39.9,40.4,164
233.3,76.7,1.88,30.8,54.0,40.1,36.8,202
63.6,27.7,1.22,29.4,60.2,37.0,80.0,110
197.0,90.6,1.14,37.9,20.4,31.8,22.1,162
110.6,254.6,1.83,81.2,29.7,13.5,75.2,214
251.6,270.6,1.55,58.6,31.1,25.1,55.7,250
93.9,166.8,0.57,85.6,43.0,39.2,34.1,149
210.0,119.2,1.65,94.3,75.5,43.1,66.6,235
210.2,344.1,0.8,24.7,30.5,23.8,86.0,212
248.8,344.1,1.56,78.0,30.4,14.5,70.1,277
226.4,191.0,1.34,40.9,28.4,18.3,50.8,209
139.8,134.1,0.76,93.1,66.3,14.6,55.4,184
62.6,153.8,0.5,58.9,39.0,18.4,55.4,123
222.6,299.3,1.08,14.2,3.3,13.9,44.9,201
141.8,49.6,1.87,95.9,14.3,30.5,26.1,181
171.5,342.0,1.23,114.4,67.5,32.8,77.9,262
95.1,109.6,0.76,71.8,47.2,31.8,32.0,139
277.4,192.0,1.0,68.2,27.2,41.7,58.0,229
120.2,125.9,0.38,44.9,69.2,41.7,50.5,134
193.6,305.9,0.39,14.4,21.6,15.4,22.3,173
167.0,304.6,1.42,25.7,58.9,38.2,63.2,209
94.8,288.4,1.87,37.0,78.8,10.6,70.1,208
96.8,220.6,1.88,65.9,5.1,32.0,62.8,183
299.7,296.0,1.64,112.8,53.9,30.9,37.4,308
37.9,291.5,1.59,15.7,43.1,15.0,27.7,151
146.2,27.3,1.98,18.1,19.6,27.2,32.0,146
153.0,180.2,1.89,95.2,17.2,27.3,73.9,218
94.5,132.6,1.59,53.4,56.4,31.5,29.7,162
15.4,40.7,1.89,28.4,63.5,26.4,31.7,112
25.3,53.6,0.79,64.3,23.4,42.9,27.4,87
29.3,112.8,0.6,19.4,17.3,10.4,46.3,79
108.6,227.1,0.8,29.9,33.7,14.7,71.6,152
277.9,201.5,0.69,19.6,42.1,43.5,37.3,199
126.5,98.7,0.46,93.5,36.1,41.6,33.2,146
214.0,193.5,0.5,23.4,73.9,10.7,57.3,186
62.3,215.0,1.08,54.7,14.4,27.4,31.6,139
242.2,383.2,0.23,96.4,33.7,22.2,57.8,250
166.5,292.5,1.86,108.3,63.7,20.1,71.8,267
146.9,159.4,1.01,102.6,59.2,38.4,74.8,199
277.0,264.9,1.39,64.9,13.4,14.1,26.3,251
209.1,129.9,1.34,72.2,12.0,21.5,34.8,198
269.0,177.1,1.76,35.0,10.7,29.8,48.8,225
168.6,312.2,0.48,111.3,16.9,44.6,40.0,210
210.8,235.9,1.94,116.7,76.1,35.8,24.5,276
20.9,238.1,0.56,85.4,13.4,33.4,56.7,128
24.4,195.8,1.89,77.9,64.1,17.0,74.2,177
97.9,227.0,0.9,41.2,34.0,23.1,26.0,150
269.1,235.4,1.48,106.5,16.9,15.8,49.8,269
200.9,216.6,1.83,106.7,8.1,32.3,55.5,243
234.0,133.9,0.89,117.6,59.1,20.2,42.0,233
200.0,67.2,1.36,32.2,76.1,21.2,48.8,183
261.6,160.8,1.63,100.5,65.3,24.4,61.5,266
215.7,355.5,0.48,19.5,23.6,20.5,42.5,198
194.9,272.5,0.91,21.9,71.2,22.0,45.5,202
112.1,99.5,0.63,95.0,39.3,29.4,47.3,151
215.6,202.0,1.28,82.4,59.3,13.6,31.9,234
78.5,228.5,0.16,79.1,27.0,39.7,31.5,134
212.7,212.2,0.81,71.2,72.7,18.7,76.1,223
165.6,237.7,0.8,9.9,10.0,16.3,64.2,158
292.9,203.6,0.85,64.5,11.3,43.5,84.2,228
35.4,58.3,0.41,116.1,68.0,13.0,84.4,132
127.0,155.1,1.29,48.0,61.9,29.2,55.8,172
293.1,397.5,1.33,113.6,6.4,24.2,40.4,304
105.0,79.1,1.84,51.2,10.3,18.1,57.2,153
260.2,234.0,1.6,34.0,49.8,31.7,83.3,242
143.4,53.3,0.81,56.5,2.5,36.2,59.7,130
292.6,321.0,1.84,48.3,39.1,24.8,35.7,280
16.5,87.3,1.49,98.0,52.9,17.7,57.8,145
58.3,240.6,1.41,81.0,66.7,31.6,84.5,186
191.5,73.9,1.4,105.9,25.0,42.7,86.9,203
11.7,58.9,0.8,33.3,24.2,12.3,53.0,77
187.9,32.4,0.57,34.9,12.9,38.5,54.9,127
254.1,135.3,1.81,44.2,63.1,36.1,38.9,230
155.7,344.9,1.24,39.0,17.1,26.3,33.3,201
152.9,238.6,0.87,31.1,78.5,31.2,39.6,181
40.8,172.8,0.21,47.8,23.0,26.0,47.0,97
80.0,267.4,0.12,108.9,49.2,33.2,83.6,170
287.4,242.4,1.16,92.4,63.1,44.6,40.1,268
240.9,351.6,0.97,56.2,61.9,17.8,48.7,253
143.7,71.7,0.43,69.9,77.1,34.0,22.1,148
92.2,182.8,1.88,84.3,33.0,29.3,51.2,191
102.1,48.7,1.85,80.7,12.0,39.8,69.3,159
275.2,158.2,1.51,72.7,2.5,15.0,85.6,239
31.7,229.9,1.18,21.1,63.0,11.9,41.0,135
96.3,298.7,1.46,102.0,73.7,11.3,65.4,229
17.9,155.5,0.21,35.6,71.9,17.7,42.0,94
233.7,130.1,0.49,97.3,19.2,44.0,51.4,194
126.5,395.9,0.26,61.5,18.8,44.8,79.8,182
297.7,317.3,1.27,14.8,60.4,43.6,46.5,252
30.5,179.8,0.59,57.4,30.7,10.4,43.5,116
39.9,199.6,0.11,108.9,18.1,32.8,78.0,130
202.8,369.0,1.39,58.6,23.6,42.3,34.2,237
227.2,322.0,1.93,9.4,65.1,27.1,31.9,245
126.3,244.7,1.58,112.2,67.1,38.7,48.9,230
38.8,28.6,1.4,51.0,8.7,15.6,41.8,102
136.0,294.8,1.1,35.8,6.8,32.8,74.9,177
227.1,75.4,0.39,92.4,49.7,11.6,83.3,194
77.0,115.7,1.1,83.0,35.7,19.9,81.3,153
193.4,287.9,0.3,98.3,20.7,23.6,39.3,208
254.1,212.3,0.69,84.3,20.4,34.5,83.8,224
80.9,109.9,0.82,36.1,32.3,21.1,74.0,119
85.3,265.0,1.3,117.8,30.5,10.5,23.2,204
159.1,81.5,0.85,6.8,15.9,30.5,59.3,123
242.3,223.5,0.76,59.8,73.9,29.0,39.8,224
83.8,328.0,1.41,113.5,27.7,44.0,86.1,216
238.4,259.2,0.77,110.8,2.7,12.2,62.0,240
12.4,187.0,0.41,87.3,41.7,17.1,80.8,125
128.0,226.6,1.99,63.8,63.1,31.5,22.4,212
198.8,304.8,0.97,96.0,16.1,20.3,57.3,234
294.6,192.6,0.36,58.2,9.8,12.4,40.6,210
144.4,92.7,0.47,96.8,64.8,25.0,76.1,170
195.0,306.1,0.71,43.0,28.0,28.7,67.5,201
259.7,279.5,0.28,66.6,63.4,35.2,79.5,231
270.9,26.3,1.45,39.3,19.9,18.3,44.7,193
61.4,110.0,1.26,101.0,7.1,25.8,53.4,147
270.3,81.5,0.98,34.0,10.4,23.4,35.5,182
234.8,117.2,0.93,21.1,20.5,19.7,44.4,172
208.3,83.7,1.39,81.3,67.7,19.1,83.3,217
178.1,216.6,0.29,34.7,46.2,15.0,72.8,168
188.5,307.0,0.79,89.4,23.7,33.2,75.1,223
195.4,208.8,0.75,82.8,71.3,20.6,45.8,215
23.2,114.8,0.36,91.1,26.2,15.0,71.4,110
166.5,77.3,0.22,12.0,40.7,29.9,77.2,118
249.6,230.1,1.72,20.4,2.3,28.1,24.3,215
256.5,143.6,1.07,28.8,75.8,26.7,79.0,213
173.2,151.0,0.35,79.4,73.2,29.0,38.0,179
